C41-15919-102;02/;07/201112;073;0124180;6/200;04/2;0070//;0;0923/01/20;12118;41152.23;;01/60316/
C41-15953-102;02/;07/201100;107;0258940;2/201;06/2;01024/06/20;100;0908/12/20;11123;0229.90;;01/00608/
C41-15985-101;01/;12/198611;157;0143980;1/201;04/2;0150//;0;0109/04/20;15001;2199637.24;;01/50609/
C41-16035-102;30/;06/201118;976;1123120;5/199;10/1;9970//;0;0917/09/20;13058;1263.20;;01/70631/
C41-16089-106;16/;06/198408;157;0102400;1/201;03/2;01520/03/20;150;3115/04/20;15000;64609.13;;01/50618/
C41-16519-102;31/;10/200029;976;0440880;4/199;08/1;9970//;0;0908/12/20;11123;0243.97;;01/70631/
C41-16621-101;22/;10/198608;153;0023000;1/201;03/2;01517/04/20;150;0126/03/20;15002;61376.08;;01/50326/
C41-16851-102;07/;06/200014;996;1733960;5/199;10/1;9990//;0;0908/12/20;11123;0228.04;;01/90631/
C41-16974-102;01/;03/200700;033;0003720;2/200;06/2;0030//;0;0908/12/20;11123;03741.26;;01/30305/
C41-17026-103;17/;06/200203;157;0102420;1/201;03/2;0150//;0;0118/03/20;15003;41913.84;;01/50618/
C41-17110-102;30/;06/201129;033;0006170;1/199;12/2;0030//;0;0908/12/20;11123;050.07;;01/90308/
C41-17110-102;30/;06/201129;033;0009410;5/199;02/2;0030//;0;0908/12/20;11123;012.47;;01/80324/
C41-17131-102;31/;12/199825;986;1078540;4/199;08/1;9980//;0;0908/12/20;11123;01345.73;;01/80631/
C41-17387-102;31/;05/200804;086;0628820;2/200;04/2;0080//;0;0908/12/20;11123;0541.55;;01/80630/
C41-17702-103;01/;07/200909;113;0150800;3/201;10/2;0110//;0;0914/11/20;11125;4531.27;;01/10324/
C41-17840-102;30/;06/201407;133;0012650;1/201;03/2;0130//;0;0915/04/20;15000;620242.45;;01/30327/
C41-17840-102;30/;06/201407;133;0026860;2/201;05/2;01306/06/20;130;0915/04/20;15000;664301.61;;01/30330/
C41-18055-102;31/;10/200510;026;2138140;6/200;12/2;0020//;0;1920/10/20;11127;998480.56;;01/20631/
C41-18055-102;31/;10/200510;036;0207210;1/200;02/2;0030//;0;1920/10/20;11127;995070.60;;01/30628/
C41-18055-102;31/;10/200510;036;0596040;2/200;04/2;0030//;0;1920/10/20;11127;996232.64;;01/30630/
C41-18055-102;31/;10/200510;036;0793510;3/200;07/2;0030//;0;1920/10/20;11127;964074.70;;01/30601/
C41-18055-102;31/;10/200510;036;1181470;4/200;09/2;0030//;0;1920/10/20;11127;97643.53;;01/30601/
C41-18055-102;31/;10/200510;036;1570970;5/200;11/2;0030//;0;1920/10/20;11127;97520.28;;01/30601/
C41-18055-102;31/;10/200510;036;1963740;6/200;12/2;0030//;0;1920/10/20;11127;97520.28;;01/30631/
C41-18055-102;31/;10/200510;046;0208630;1/200;02/2;0040//;0;1920/10/20;11127;97482.64;;01/40629/
C41-18055-102;31/;10/200510;046;0601010;2/200;04/2;0040//;0;1920/10/20;11127;97607.36;;01/40630/
C41-18055-102;31/;10/200510;046;0993410;3/200;06/2;0040//;0;1920/10/20;11127;97607.36;;01/40630/
C41-18055-102;31/;10/200510;046;1386510;4/200;08/2;0040//;0;1920/10/20;11127;97851.94;;01/40631/
C41-18055-102;31/;10/200510;046;1781670;5/200;10/2;0040//;0;1920/10/20;11127;97725.33;;01/40631/
C41-18055-102;31/;10/200510;046;2177530;6/200;12/2;0040//;0;1920/10/20;11127;97725.33;;01/40631/
C41-18055-102;31/;10/200510;056;0210900;1/200;02/2;0050//;0;1920/10/20;11127;97558.58;;01/50628/
C41-18055-102;31/;10/200510;056;0607640;2/200;04/2;0050//;0;1920/10/20;11127;97814.83;;01/50630/
C41-18055-102;31/;10/200510;056;1010060;3/200;06/2;0050//;0;1920/10/20;11127;97814.83;;01/50630/
C41-18055-102;31/;10/200510;056;1411660;4/200;08/2;0050//;0;1920/10/20;11127;98066.95;;01/50631/
C41-18055-102;31/;10/200510;056;1814520;5/200;10/2;0050//;0;1920/10/20;11127;97936.87;;01/50631/
C41-18942-102;31/;10/199713;976;1125670;5/199;10/1;9970//;0;0908/12/20;11123;01563.56;;01/70631/
C41-19026-102;31/;08/199797;976;0443070;4/199;08/1;9970//;0;0930/11/20;11123;8107.58;;01/70631/
C41-19037-102;30/;06/201130;976;0443090;4/199;08/1;9970//;0;0908/12/20;11123;0107.58;;01/70631/
C41-19315-106;18/;06/198604;157;0102470;1/201;03/2;01520/03/20;150;3115/04/20;15000;615045.73;;01/50618/
C41-19744-102;30/;06/201129;036;0208160;1/200;02/2;0030//;0;0908/12/20;11123;0168.90;;01/30628/
C41-19910-102;31/;08/201304;073;0124230;6/200;04/2;0070//;0;0901/07/20;13065;9898.90;;01/60316/
C41-19910-102;31/;08/201304;117;0046120;6/201;01/2;0110//;0;0901/07/20;13065;91927.45;;01/00618/
C41-19923-102;01/;11/199929;996;1575760;5/199;10/1;9990//;0;0908/12/20;11123;02530.58;;01/90631/
C41-19945-106;22/;10/198609;157;0102480;1/201;03/2;0150//;0;0118/03/20;15003;49237.70;;01/50618/
C41-19981-102;30/;11/199825;986;0382370;2/199;04/1;9980//;0;0908/12/20;11123;03784.44;;01/80630/
C41-19981-102;30/;11/199825;986;0731070;3/199;06/1;9980//;0;0908/12/20;11123;03931.08;;01/80630/
C41-19981-102;30/;11/199825;986;1081060;4/199;08/1;9980//;0;0908/12/20;11123;03508.08;;01/80631/
C41-19981-102;30/;11/199825;986;1433660;5/199;10/1;9980//;0;0908/12/20;11123;02814.36;;01/80631/
C41-19990-103;01/;06/200910;106;0563860;5/200;09/2;0100//;0;1402/06/20;11141;9171115.81;;01/80306/
C41-20001-102;05/;03/199904;986;1433690;5/199;10/1;9980//;0;0908/12/20;11123;0241.70;;01/80631/
C41-20200-102;30/;06/201128;006;1986260;6/200;12/2;0000//;0;0908/12/20;11123;02530.78;;01/00631/
C41-20392-102;30/;06/201117;107;0259030;2/201;06/2;0100//;0;0908/12/20;11123;036.49;;01/00608/
C41-20421-102;30/;06/201121;976;0444950;4/199;08/1;9970//;0;0908/12/20;11123;01138.21;;01/70631/
C41-20421-102;30/;06/201121;976;1127520;5/199;10/1;9970//;0;0908/12/20;11123;01080.47;;01/70631/
C41-20453-102;28/;02/200719;053;6107910;6/200;04/2;0050//;0;0908/12/20;11123;01406.11;;01/20312/
C41-20506-101;02/;09/198501;153;0023010;1/201;03/2;0150//;0;0126/03/20;15002;61176.73;;01/50326/
C41-20830-102;31/;03/199806;976;1069790;6/199;12/1;9970//;0;0908/12/20;11123;0160.00;;01/70631/
C41-20830-102;31/;03/199806;976;1128090;5/199;10/1;9970//;0;0908/12/20;11123;01261.29;;01/70631/
C41-20830-102;31/;03/199806;986;0475460;1/199;02/1;9980//;0;0908/12/20;11123;0154.75;;01/80628/
C41-20959-102;30/;06/201104;053;6004160;2/200;01/2;0050//;0;0908/12/20;11123;0248.52;;01/00303/
C41-21020-102;07/;01/199908;976;1070040;6/199;12/1;9970//;0;0908/12/20;11123;0200.04;;01/70631/
C41-21030-102;30/;06/201125;043;6071310;1/200;12/2;0040//;0;0908/12/20;11123;0607.52;;01/00329/
C41-21067-102;30/;06/201106;043;0001800;1/200;04/2;0040//;0;0908/12/20;11123;0239.32;;01/40328/
C41-21211-102;28/;02/199826;976;1128670;5/199;10/1;9970//;0;0908/12/20;11123;0173.50;;01/70631/
C41-21217-102;30/;06/201108;086;1862020;5/200;10/2;0080//;0;0908/12/20;11123;018127.55;;01/80631/
C41-21340-102;31/;08/200801;976;1070570;6/199;12/1;9970//;0;0920/08/20;08243;5211.66;;01/70631/
C41-21486-102;30/;06/201113;056;0793730;2/200;04/2;0050//;0;0908/12/20;11123;024.00;;01/50630/
C41-21489-102;30/;06/201119;063;0001830;6/200;01/2;0060//;0;0908/12/20;11123;0374.44;;01/50330/
C41-21724-102;30/;06/201125;026;0974460;3/200;06/2;0020//;0;0908/12/20;11123;0338.38;;01/20630/
C41-21836-102;30/;06/201100;976;0447270;4/199;08/1;9970//;0;0908/12/20;11123;0518.60;;01/70631/
C41-21836-102;30/;06/201100;976;1129670;5/199;10/1;9970//;0;0908/12/20;11123;0510.24;;01/70631/
C41-22104-102;31/;03/201213;097;0182190;2/200;06/2;0090//;0;0919/01/20;12118;8997.09;;01/90605/
C41-22104-102;31/;03/201213;107;0075520;6/200;02/2;0100//;0;0919/01/20;12118;8502.19;;01/90608/
C41-22104-102;31/;03/201213;107;0331500;3/201;07/2;01030/07/20;100;0919/01/20;12118;81284.74;;01/00615/
C41-22104-102;31/;03/201213;107;0522070;4/201;09/2;01012/10/20;100;0919/01/20;12118;8888.76;;01/00612/
C41-22104-102;31/;03/201213;117;0170300;1/201;04/2;0110//;0;0919/01/20;12118;862.75;;01/10611/
C41-22146-102;31/;12/199797;976;0447740;4/199;08/1;9970//;0;0908/12/20;11123;0107.58;;01/70631/
C41-22146-102;31/;12/199797;976;1071780;6/199;12/1;9970//;0;0930/11/20;11123;8105.83;;01/70631/
C41-22173-103;01/;07/201130;073;0044000;1/200;04/2;0070//;0;0908/12/20;11123;01623.00;;01/60302/
C41-22173-103;01/;07/201130;073;0096920;2/200;04/2;0070//;0;0908/12/20;11123;01270.92;;01/60309/
C41-22173-103;01/;07/201130;073;0101300;3/200;04/2;0070//;0;0908/12/20;11123;01270.92;;01/60309/
C41-22173-103;01/;07/201130;073;0105680;4/200;04/2;0070//;0;0908/12/20;11123;01229.90;;01/60309/
C41-22173-103;01/;07/201130;073;0109680;5/200;04/2;0070//;0;0908/12/20;11123;0802.64;;01/60309/
C41-22206-102;30/;06/201121;976;1130190;5/199;10/1;9970//;0;0908/12/20;11123;0105.83;;01/70631/
C41-22267-102;31/;10/199897;023;0058540;5/199;07/2;0020//;0;0930/11/20;11123;8639.13;;01/70301/
C41-22267-102;31/;10/199897;996;1233250;4/199;08/1;9990//;0;3103/07/20;04394;4143.481506;;01/90631/
C41-22284-102;15/;03/200100;016;0741250;2/200;04/2;0010//;0;0928/08/20;12096;62359.96;;01/10630/
C41-22366-102;30/;06/201128;976;1130390;5/199;10/1;9970//;0;0908/12/20;11123;0423.32;;01/70631/
C41-22695-102;11/;09/200613;053;5583480;5/200;11/2;0050//;0;0908/12/20;11123;0187.22;;01/50329/
C41-22770-102;30/;06/201130;097;0182230;2/200;06/2;0090//;0;0908/12/20;11123;02435.97;;01/90605/
C41-22857-103;01/;03/199803;157;0061130;6/201;02/2;01527/02/20;150;3125/03/20;15002;7604.06;;01/40612/
C41-22857-103;01/;03/199803;157;0102580;1/201;03/2;0150//;0;0118/03/20;15003;4584.26;;01/50618/
C41-23130-101;22/;02/198811;157;0143990;1/201;04/2;0150//;0;0109/04/20;15001;2362.19;;01/50609/
C41-23269-102;31/;07/199802;986;0386980;2/199;04/1;9980//;0;0908/12/20;11123;0120.85;;01/80630/
C41-23336-102;30/;06/201119;006;0346320;1/200;02/2;0000//;0;0908/12/20;11123;0342.19;;01/00629/
C41-23336-102;30/;06/201119;976;1131910;5/199;10/1;9970//;0;0908/12/20;11123;02846.28;;01/70631/
C41-23389-102;11/;11/201125;063;0010290;3/200;04/2;0060//;0;0908/12/20;11123;0187.22;;01/50324/
C41-23412-102;30/;06/201129;053;5583540;5/200;11/2;0050//;0;0908/12/20;11123;0187.22;;01/50329/
C41-23730-102;31/;05/200921;086;1863690;5/200;10/2;0080//;0;0908/12/20;11123;02765.93;;01/80631/
C41-23730-102;31/;05/200921;086;2274330;6/200;12/2;0080//;0;0908/12/20;11123;02373.74;;01/80631/
C41-23730-102;31/;05/200921;097;0123880;1/200;04/2;0090//;0;0908/12/20;11123;02140.26;;01/90612/
C41-23798-102;30/;06/201108;113;0039310;1/200;04/2;0110//;0;0908/12/20;11123;044.64;;01/80301/
C41-23839-102;15/;02/199913;986;0479860;1/199;02/1;9980//;0;0908/12/20;11123;0116.88;;01/80628/
C41-23890-101;01/;09/198803;146;0081410;1/201;06/2;01403/07/20;140;1426/02/20;15005;437270.58;;01/05712/
C41-23890-101;01/;09/198803;146;0081420;2/201;06/2;01403/07/20;140;1426/02/20;15005;432338.09;;01/05712/
C41-23890-101;01/;09/198803;146;0081430;3/201;06/2;01403/07/20;140;1426/02/20;15005;440202.17;;01/05712/
C41-23890-101;01/;09/198803;146;0081440;4/201;06/2;01403/07/20;140;1426/02/20;15005;442423.47;;01/05712/
C41-23890-101;01/;09/198803;146;0081450;5/201;06/2;01403/07/20;140;1426/02/20;15005;436801.73;;01/05712/
C41-23890-101;01/;09/198803;146;0081460;6/201;06/2;01403/07/20;140;1426/02/20;15005;431201.42;;01/05712/
C41-23993-102;01/;07/201110;117;0462640;4/201;10/2;0110//;0;0908/12/20;11123;0243.23;;01/10611/
C41-24056-102;30/;06/201125;086;0407380;1/200;02/2;0080//;0;0908/12/20;11123;011.48;;01/80629/
C41-24482-102;30/;11/200425;046;0998270;3/200;06/2;0040//;0;0908/12/20;11123;01140.18;;01/40630/
C41-24482-102;30/;11/200425;046;1391290;4/200;08/2;0040//;0;0908/12/20;11123;01158.86;;01/40631/
C41-24535-102;30/;06/201123;016;0044020;1/199;03/2;0010//;0;0908/12/20;11123;0533.28;;01/90623/
C41-24535-102;30/;06/201123;016;0044030;2/199;03/2;0010//;0;0908/12/20;11123;0551.36;;01/90623/
C41-24535-102;30/;06/201123;016;0044040;3/199;03/2;0010//;0;0908/12/20;11123;0126.52;;01/90623/
C41-24784-102;30/;06/201104;033;0003680;1/199;02/2;0030//;0;0908/12/20;11123;0947.79;;01/80301/
C41-24784-102;30/;06/201104;053;5583620;5/200;11/2;0050//;0;0908/12/20;11123;0826.10;;01/50329/
C41-24879-102;30/;06/201133;043;6007120;3/200;08/2;0040//;0;0908/12/20;11123;02644.72;;01/40326/
C41-25090-102;29/;12/201408;153;0002800;6/201;01/2;01510/02/20;150;0927/03/20;15002;51100.34;;01/40326/
C41-25120-102;13/;11/201100;006;126124C0;4/200;08/2;0000//;0;0919/11/20;10161;43243.41;;01/00631/
C41-25283-102;30/;09/200918;976;0452670;4/199;08/1;9970//;0;0908/12/20;11123;0159.51;;01/70631/
C41-25412-102;28/;02/199802;976;0452920;4/199;08/1;9970//;0;0908/12/20;11123;078.08;;01/70631/
C41-25432-101;01/;11/198908;143;0068970;1/201;10/2;01404/11/20;140;3127/11/20;14014;51389.75;;01/00323/
C41-25432-101;01/;11/198908;143;0077860;2/201;10/2;01424/11/20;140;3109/04/20;15001;21436.85;;01/00328/
C41-25432-101;01/;11/198908;143;0083310;3/201;11/2;01424/11/20;140;3109/04/20;15001;21436.85;;01/00303/
C41-25432-101;01/;11/198908;143;0088600;4/201;11/2;01424/11/20;140;3109/04/20;15001;21538.81;;01/00303/
C41-25432-101;01/;11/198908;143;0092220;5/201;11/2;01424/11/20;140;3112/12/20;14013;02034.64;;01/00307/
C41-25515-102;08/;05/200605;056;2222600;6/200;12/2;0050//;0;0918/04/20;06329;05700.07;;01/50631/
C41-25626-101;01/;01/199009;093;0045020;1/200;08/2;0090//;0;2518/10/20;13055;0832.88;;01/60324/
C41-25910-102;30/;06/201106;026;1752950;5/200;10/2;0020//;0;0908/12/20;11123;0463.32;;01/20631/
C41-25910-102;30/;06/201106;026;2144760;6/200;12/2;0020//;0;0908/12/20;11123;0388.67;;01/20631/
C41-25910-102;30/;06/201106;043;6071560;1/200;12/2;0040//;0;0908/12/20;11123;0149.13;;01/00329/
C41-25910-102;30/;06/201106;053;6004400;2/200;01/2;0050//;0;0908/12/20;11123;0151.61;;01/00303/
C41-25925-102;30/;06/201115;086;1454200;4/200;08/2;0080//;0;0908/12/20;11123;01569.13;;01/80631/
C41-25925-102;30/;06/201115;097;0182480;2/200;06/2;0090//;0;0908/12/20;11123;01232.66;;01/90605/
C41-25946-102;30/;06/201125;036;0385160;1/200;02/2;0030//;0;0908/12/20;11123;0296.77;;01/30628/
C41-26034-102;31/;08/200406;036;0602700;2/200;04/2;0030//;0;0931/01/20;12117;61271.08;;01/30630/
C41-26034-102;31/;08/200406;036;0800100;3/200;07/2;0030//;0;0931/01/20;12117;61226.96;;01/30601/
C41-26034-102;31/;08/200406;036;1577390;5/200;11/2;0030//;0;0931/01/20;12117;61226.96;;01/30601/
C41-26034-102;31/;08/200406;046;0607240;2/200;04/2;0040//;0;0908/12/20;11123;01091.26;;01/40630/
C41-26114-102;31/;12/199797;976;1077770;6/199;12/1;9970//;0;0930/11/20;11123;8763.75;;01/70631/
C41-26114-102;31/;12/199797;976;1136270;5/199;10/1;9970//;0;0930/11/20;11123;8657.92;;01/70631/
C41-26126-102;01/;08/200628;043;6009620;4/200;10/2;0040//;0;0908/12/20;11123;03895.98;;01/40305/
C41-26126-102;01/;08/200628;053;6503870;1/200;04/2;0050//;0;0908/12/20;11123;01903.81;;01/50306/
C41-26192-102;30/;06/201104;086;1043790;3/200;06/2;0080//;0;0908/12/20;11123;0880.17;;01/80630/
C41-26208-102;30/;06/201102;073;0101360;3/200;04/2;0070//;0;0908/12/20;11123;0194.72;;01/60309/
C41-26208-102;30/;06/201102;073;0105730;4/200;04/2;0070//;0;0908/12/20;11123;0197.91;;01/60309/
C41-26208-102;30/;06/201102;073;0109750;5/200;04/2;0070//;0;0908/12/20;11123;0194.72;;01/60309/
C41-26227-102;30/;03/199817;976;0454380;4/199;08/1;9970//;0;0908/12/20;11123;0107.58;;01/70631/
C41-26227-102;30/;03/199817;976;1136510;5/199;10/1;9970//;0;0908/12/20;11123;0105.83;;01/70631/
C41-26269-102;01/;07/199914;996;0553440;2/199;04/1;9990//;0;0908/12/20;11123;0219.18;;01/90630/
C41-26308-102;30/;06/201123;076;1845360;5/200;10/2;0070//;0;0908/12/20;11123;01922.51;;01/70631/
C41-26454-102;30/;06/201100;053;6004460;2/200;01/2;0050//;0;0908/12/20;11123;02119.55;;01/00303/
C41-26454-102;30/;06/201100;053;6011110;3/200;01/2;0050//;0;0908/12/20;11123;01078.57;;01/00304/
C41-26454-102;30/;06/201100;073;0096990;2/200;04/2;0070//;0;0908/12/20;11123;01056.98;;01/60309/
C41-26454-102;30/;06/201100;073;0105740;4/200;04/2;0070//;0;0908/12/20;11123;0880.87;;01/60309/
C41-26454-102;30/;06/201100;073;0109760;5/200;04/2;0070//;0;0908/12/20;11123;01841.48;;01/60309/
C41-26454-102;30/;06/201100;083;0002070;4/200;01/2;0080//;0;0908/12/20;11123;01082.43;;01/70321/
C41-26454-102;30/;06/201100;083;0018460;5/200;04/2;0080//;0;0908/12/20;11123;01052.25;;01/70314/
C41-26454-102;30/;06/201100;093;0022580;6/200;05/2;0090//;0;0908/12/20;11123;04746.91;;01/80308/
C41-26454-102;30/;06/201100;093;0033190;1/200;06/2;0090//;0;0908/12/20;11123;03278.84;;01/90305/
C41-26615-102;01/;12/200523;053;5583700;5/200;11/2;0050//;0;0908/12/20;11123;0858.07;;01/50329/
C41-26631-102;30/;04/200621;066;0619060;2/200;04/2;0060//;0;0908/12/20;11123;0225.50;;01/60630/
C41-26695-102;30/;06/201104;986;0392380;2/199;04/1;9980//;0;0908/12/20;11123;0120.85;;01/80630/
C41-26750-102;31/;08/200800;086;1639010;4/200;08/2;0080//;0;0928/10/20;08236;6282.63;;01/80631/
C41-26763-102;26/;07/199910;996;0897650;3/199;06/1;9990//;0;0912/11/20;03417;8551.47;;01/90630/
C41-26820-102;30/;06/201121;056;1194420;3/200;06/2;0050//;0;0908/12/20;11123;030.69;;01/50630/
C41-26888-102;30/;06/201125;053;6050470;3/200;03/2;0050//;0;0908/12/20;11123;01239.47;;01/10304/
C41-26888-102;30/;06/201125;053;6516470;3/200;07/2;0050//;0;0908/12/20;11123;01269.40;;01/50329/
C41-26946-102;30/;06/201121;976;0455880;4/199;08/1;9970//;0;0908/12/20;11123;0123.66;;01/70631/
C41-26946-102;30/;06/201121;976;1137950;5/199;10/1;9970//;0;0908/12/20;11123;0114.83;;01/70631/
C41-26949-102;02/;10/200000;006;0904470;3/200;06/2;0000//;0;0901/01/00;01000;0251.03;;01/00630/
C41-26949-102;02/;10/200000;006;1785330;5/200;10/2;0000//;0;0901/01/00;01000;074.57;;01/00631/
C41-27003-102;11/;11/200404;023;0024760;4/199;07/2;0020//;0;0908/12/20;11123;029.49;;01/70301/
C41-27044-102;31/;12/199797;976;0456160;4/199;08/1;9970//;0;0930/11/20;11123;8349.49;;01/70631/
C41-27044-102;31/;12/199797;976;1079600;6/199;12/1;9970//;0;0908/12/20;11123;0343.84;;01/70631/
C41-27044-102;31/;12/199797;976;1138200;5/199;10/1;9970//;0;0908/12/20;11123;0343.84;;01/70631/
C41-27047-102;31/;07/200504;053;6037200;1/200;03/2;0050//;0;0908/12/20;11123;065.89;;01/10301/
C41-27144-102;30/;06/201103;053;6037220;1/200;03/2;0050//;0;0908/12/20;11123;026.46;;01/10301/
C41-27183-102;22/;02/200623;976;1138450;5/199;10/1;9970//;0;0908/12/20;11123;02702.38;;01/70631/
C41-27238-102;30/;06/201130;976;0456540;4/199;08/1;9970//;0;0908/12/20;11123;02067.47;;01/70631/
C41-27245-102;28/;01/200014;976;0456550;4/199;08/1;9970//;0;0908/12/20;11123;0107.58;;01/70631/
C41-27245-102;28/;01/200014;976;1079950;6/199;12/1;9970//;0;0908/12/20;11123;0105.83;;01/70631/
C41-27245-102;28/;01/200014;976;1138560;5/199;10/1;9970//;0;0908/12/20;11123;0105.83;;01/70631/
C41-27245-102;28/;01/200014;986;0485530;1/199;02/1;9980//;0;0908/12/20;11123;0116.88;;01/80628/
C41-27253-102;30/;06/201106;026;1754780;5/200;10/2;0020//;0;0923/01/20;12118;4168.65;;01/20631/
C41-27253-102;30/;06/201106;026;2146590;6/200;12/2;0020//;0;0923/01/20;12118;4168.65;;01/20631/
C41-27253-102;30/;06/201106;053;6004530;2/200;01/2;0050//;0;0908/12/20;11123;0151.61;;01/00303/
C41-27345-101;08/;11/199005;157;0102660;1/201;03/2;0150//;0;0118/03/20;15003;41213.16;;01/50618/
C41-27366-102;15/;11/199923;976;1080120;6/199;12/1;9970//;0;0908/12/20;11123;0105.83;;01/70631/
C41-27366-102;15/;11/199923;986;0393550;2/199;04/1;9980//;0;0908/12/20;11123;0120.85;;01/80630/
C41-27544-102;30/;06/201123;046;078057C0;2/200;04/2;0040//;0;0908/12/20;11123;023.73;;01/40630/
C41-27565-102;19/;02/201013;073;0044080;1/200;04/2;0070//;0;0930/03/20;12111;7964.68;;01/60302/
C41-27595-102;30/;06/201117;016;0741330;2/200;04/2;0010//;0;0908/12/20;11123;0105.86;;01/10630/
C41-27633-101;01/;01/199104;153;0014980;5/201;03/2;01517/03/20;150;0808/04/20;15001;31057.68;;01/40305/
C41-27685-102;28/;02/200800;053;6050500;3/200;03/2;0050//;0;0915/07/20;10174;1857.45;;01/10304/
C41-27685-102;28/;02/200800;053;6057320;4/200;03/2;0050//;0;0915/07/20;10174;1815.75;;01/10307/
C41-27685-102;28/;02/200800;066;1017790;3/200;06/2;0060//;0;0915/07/20;10174;15431.39;;01/60630/
C41-27733-102;03/;02/199913;976;1139390;5/199;10/1;9970//;0;0922/11/20;11124;60.23;;01/70631/
C41-27775-102;29/;02/200429;976;0457480;4/199;08/1;9970//;0;0908/12/20;11123;0534.69;;01/70631/
C41-27793-102;30/;06/201103;043;6012100;5/200;12/2;0040//;0;0908/12/20;11123;0244.30;;01/40307/
C41-27793-102;30/;06/201103;053;6501530;6/200;02/2;0050//;0;0908/12/20;11123;0261.44;;01/40301/
C41-27829-102;30/;06/201133;086;1455560;4/200;08/2;0080//;0;0908/12/20;11123;03160.81;;01/80631/
C41-27872-102;30/;06/201123;996;0555880;2/199;04/1;9990//;0;0908/12/20;11123;0648.53;;01/90630/
C41-27942-102;30/;06/201109;086;0817920;2/200;04/2;0080//;0;0908/12/20;11123;0338.86;;01/80630/
C41-28021-102;31/;12/200115;976;0457960;4/199;08/1;9970//;0;0908/12/20;11123;01751.15;;01/70631/
C41-28021-102;31/;12/200115;976;045797C0;4/199;08/1;9970//;0;0908/12/20;11123;0128.54;;01/70631/
C41-28021-102;31/;12/200115;976;1139860;5/199;10/1;9970//;0;0908/12/20;11123;01901.18;;01/70631/
C41-28021-102;31/;12/200115;976;113987C0;5/199;10/1;9970//;0;0908/12/20;11123;0105.58;;01/70631/
C41-28021-102;31/;12/200115;986;1445050;5/199;10/1;9980//;0;0908/12/20;11123;03078.18;;01/80631/
C41-28021-102;31/;12/200115;986;1804780;6/199;12/1;9980//;0;0908/12/20;11123;04027.95;;01/80631/
C41-28072-102;31/;10/199814;976;0458060;4/199;08/1;9970//;0;0908/12/20;11123;0347.03;;01/70631/
C41-28127-102;15/;05/199819;986;0394830;2/199;04/1;9980//;0;0908/12/20;11123;01104.65;;01/80630/
C41-28127-102;15/;05/199819;986;0486960;1/199;02/1;9980//;0;0908/12/20;11123;01341.44;;01/80628/
C41-28202-102;30/;06/201123;056;1596670;4/200;08/2;0050//;0;0908/12/20;11123;067.53;;01/50631/
C41-28246-102;23/;01/201502;147;0465390;5/201;12/2;0140//;0;0926/12/20;14011;6469.89;;01/40605/
C41-28420-102;30/;06/201104;043;6038780;5/199;10/2;0040//;0;0908/12/20;11123;0137.84;;01/90306/
C41-28434-102;30/;06/201119;986;074379C0;3/199;06/1;9980//;0;0908/12/20;11123;0120.85;;01/80630/
C41-28434-102;30/;06/201119;986;109348C0;4/199;08/1;9980//;0;0908/12/20;11123;0122.83;;01/80631/
C41-28434-102;30/;06/201119;986;144574C0;5/199;10/1;9980//;0;0908/12/20;11123;0120.85;;01/80631/
C41-28434-102;30/;06/201119;986;180542C0;6/199;12/1;9980//;0;0908/12/20;11123;0128.92;;01/80631/
C41-28434-102;30/;06/201119;996;020309C0;1/199;02/1;9990//;0;0908/12/20;11123;0133.32;;01/90628/
C41-28584-102;30/;06/201111;107;052556C0;4/201;09/2;01018/10/20;100;0908/12/20;11123;0395.82;;01/00612/
C41-28593-102;30/;06/201109;063;003024C0;6/200;04/2;0060//;0;0908/12/20;11123;0447.46;;01/50324/
C41-28608-103;01/;07/201117;073;0124390;6/200;04/2;0070//;0;0908/12/20;11123;0309.05;;01/60316/
C41-28658-103;27/;04/200903;157;0061160;6/201;02/2;01507/04/20;150;0112/02/20;15006;8270.86;;01/40612/
C41-28737-102;28/;02/199811;023;0025230;4/199;07/2;0020//;0;0929/09/20;11130;01357.05;;01/70301/
C41-28737-102;28/;02/199811;023;0060670;5/199;07/2;0020//;0;0929/09/20;11130;01306.03;;01/70301/
C41-28821-102;01/;07/200615;053;6503930;1/200;04/2;0050//;0;0908/12/20;11123;0749.25;;01/50306/
C41-28966-102;31/;12/200916;097;0384740;4/200;10/2;0090//;0;0908/12/20;11123;0745.49;;01/90612/
C41-28966-102;31/;12/200916;097;0472940;5/200;12/2;0090//;0;0908/12/20;11123;0733.48;;01/90608/
C41-29233-102;30/;06/201126;026;0379400;1/200;02/2;0020//;0;0908/12/20;11123;085.71;;01/20628/
C41-29271-101;21/;08/199107;157;0031440;6/201;01/2;01530/01/20;150;0930/03/20;15002;21230.31;;01/40620/
C41-29271-101;21/;08/199107;157;0102740;1/201;03/2;01524/03/20;150;3115/04/20;15000;61196.83;;01/50618/
C41-29324-102;30/;11/200209;976;1083490;6/199;12/1;9970//;0;0908/12/20;11123;0740.81;;01/70631/
C41-29387-102;30/;06/201104;036;1359530;4/200;09/2;0030//;0;0908/12/20;11123;0128.29;;01/30601/
C41-29387-102;30/;06/201104;976;1083590;6/199;12/1;9970//;0;0908/12/20;11123;0330.98;;01/70631/
C41-29470-10;16/;10/200300;036;001995C0;4/200;10/2;0030//;0;0912/05/20;04399;62637.57;;01/15916/
C41-29470-10;16/;10/200300;036;002003C0;3/200;10/2;0030//;0;0912/05/20;04399;61263.83;;01/15916/
