B74-13314-102;31/;08/200897;048;001335C0;5/199;02/2;004;0;1920/10/20;11127;9238.681605;;01/90824/
B74-13314-102;31/;08/200897;048;601762C0;1/200;12/2;004;0;1920/10/20;11127;915.441605;;01/08229/
B74-13314-102;31/;08/200897;029;0276691;1/200;11/2;002;0;1920/10/20;11127;9461.051605;;01/20815/
B74-13314-102;31/;08/200897;033;0021190;9/199;03/2;003;0;1920/10/20;11127;950482.121605;;01/80301/
B74-13314-102;31/;08/200897;023;0004630;2/199;04/2;002;0;1920/10/20;11127;91371.481605;;01/80308/
B74-13314-102;31/;08/200897;023;0014750;6/199;05/2;002;0;1920/10/20;11127;958184.901605;;01/80302/
B74-13314-102;31/;08/200897;039;0039250;4/199;07/2;003;0;1920/10/20;11127;947469.991605;;01/80316/
B74-13314-102;31/;08/200897;038;0000920;4/199;05/2;003;0;1920/10/20;11127;9438.751605;;01/80807/
B74-13314-102;31/;08/200897;039;0039260;3/199;07/2;003;0;1920/10/20;11127;928303.401605;;01/80316/
B74-13314-102;31/;08/200897;038;0000820;3/199;05/2;003;0;1920/10/20;11127;9530.731605;;01/80806/
B74-13314-102;31/;08/200897;023;0007250;3/199;04/2;002;0;1920/10/20;11127;933342.811605;;01/80315/
B74-13314-102;31/;08/200897;038;0000870;2/199;05/2;003;0;1920/10/20;11127;9311.141605;;01/80805/
B74-13314-102;31/;08/200897;023;0010881;2/199;02/2;002;0;1920/10/20;11127;91152.621605;;01/70318/
B74-13314-102;31/;08/200897;039;0039270;5/199;07/2;003;0;1920/10/20;11127;945706.401605;;01/80316/
B80-16059-102;19/;12/201497;148;1323550;9/201;11/2;014;0;1313/01/20;15009;8332.021605;;01/48011/
B80-16059-102;19/;12/201497;142;1561701;1/201;12/2;014;0;1313/01/20;15009;8830.061605;;01/40218/
B80-16059-102;19/;12/201497;148;1359721;0/201;11/2;014;0;1313/01/20;15009;8343.081605;;01/48019/
B80-16059-102;19/;12/201497;142;1359721;0/201;11/2;014;0;1313/01/20;15009;8857.721605;;01/40219/
B80-16059-102;19/;12/201497;152;0000271;2/201;01/2;015;0;1312/02/20;15006;8525.701605;;01/40220/
B80-16059-102;19/;12/201497;142;1323550;9/201;11/2;014;0;1313/01/20;15009;8830.061605;;01/40211/
B80-16059-102;19/;12/201497;146;1410790;5/201;11/2;014;0;1313/01/20;15009;8160.031605;;01/48119/
B80-16059-102;19/;12/201497;156;0052340;6/201;01/2;015;0;1312/02/20;15006;8128.551605;;01/48120/
